Country Name,Country Code,Cluster (2020),Series Name,GDP2016,GDP2017,GDP2018,GDP2019,GDP2020,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Afghanistan,AFG,1,GDP per capita (current US$),512.0127781293565,516.6798622105431,485.66841872980785,494.1793498860289,516.7478708075578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,1,GDP per capita (current US$),4124.05538986272,4531.019373768898,5287.663694469134,5395.659531853755,5246.292306347926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Count
Algeria,DZA,1,GDP per capita (current US$),3946.4524471253653,4109.698216957273,4142.018558429166,3989.6682764523566,3306.8582083810356,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,161
American Samoa,ASM,1,GDP per capita (current US$),12038.249699492277,11003.829764280705,11521.609779845297,11715.360138848713,12844.900990995888,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,41
Andorra,AND,2,GDP per capita (current US$),37475.63505875261,38964.90447826498,41791.969837241115,40897.330872866914,36974.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,8
Angola,AGO,1,GDP per capita (current US$),3506.073128188322,4095.810056870699,3289.643994766784,2809.6260883912914,1776.166867895308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,1,GDP per capita (current US$),15198.742966411184,15383.576397985618,16679.591662454503,17376.64967650037,13992.744480449732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,1,GDP per capita (current US$),12790.242473244707,14613.041824657957,11795.159386628686,10056.637940264993,8579.017773156831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,ARM,1,GDP per capita (current US$),3591.828052216386,3914.527854366958,4220.540320791452,4604.646323556948,4266.018074209457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,2,GDP per capita (current US$),28452.170614679635,29350.805018913692,30253.27935801951,30858.344945179902,31475.5118440835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,2,GDP per capita (current US$),49881.76371404656,53934.25017504627,57180.77940016135,54875.285956335065,51692.8427477695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,2,GDP per capita (current US$),45276.83143516929,47312.006233219894,51461.43321500823,50114.40110997282,48586.80132132376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,1,GDP per capita (current US$),3880.7387308955604,4147.089715691707,4739.841710283928,4805.753717659173,4221.407478478484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bahamas, The",BHS,2,GDP per capita (current US$),31732.919139613095,32376.509172257163,33290.02813541302,33799.417694089134,25194.025144438114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,BHR,1,GDP per capita (current US$),22608.45256236727,23742.937342415873,24085.955988096037,23551.93008574039,20409.95280477312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
